hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,lead_time_category,guest_type,estimated_revenue
Resort Hotel,0,203,2016,December,49,2,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,4,No Deposit,250.0,,0,Transient,66.8,0,0,Check-Out,09/12/2016,90+ days,Couple,467.59999999999997
City Hotel,1,82,2015,July,29,16,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,0,Canceled,16/07/2015,31-90 days,Couple,229.5
City Hotel,0,25,2016,December,53,27,0,3,3,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,220.0,,0,Transient-Party,60.0,0,1,Check-Out,30/12/2016,8-30 days,Group,180.0
City Hotel,0,1,2016,March,11,9,0,1,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,95.0,0,0,Check-Out,10/03/2016,0-7 days,Solo,95.0
City Hotel,0,70,2017,April,16,16,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,20/04/2017,31-90 days,Couple,432.0
City Hotel,0,170,2017,April,17,27,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,0,Check-Out,30/04/2017,90+ days,Couple,391.5
City Hotel,1,21,2016,March,10,4,0,1,1,0.0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,85.0,0,0,Canceled,26/02/2016,8-30 days,Solo,85.0
City Hotel,0,102,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,18/10/2015,90+ days,Couple,218.0
Resort Hotel,0,55,2016,November,47,19,2,5,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314.0,,0,Transient,67.44,0,0,Check-Out,26/11/2016,31-90 days,Couple,472.08
Resort Hotel,0,222,2015,September,38,14,1,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68.0,,0,Transient,80.0,0,0,Check-Out,16/09/2015,90+ days,Couple,160.0
Resort Hotel,0,120,2016,December,53,26,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,54.8,1,3,Check-Out,30/12/2016,90+ days,Couple,219.2
City Hotel,1,88,2017,February,7,17,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,25/11/2016,31-90 days,Couple,158.4
Resort Hotel,0,79,2015,December,52,24,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Transient,57.29,0,2,Check-Out,31/12/2015,31-90 days,Couple,401.03
City Hotel,0,41,2016,August,34,15,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,76.5,0,0,Check-Out,18/08/2016,31-90 days,Couple,229.5
City Hotel,1,239,2015,October,42,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,17/08/2015,90+ days,Couple,60.0
Resort Hotel,0,23,2017,April,16,20,0,2,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,99.0,1,0,Check-Out,22/04/2017,8-30 days,Couple,198.0
Resort Hotel,0,34,2016,December,50,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,10/12/2016,31-90 days,Couple,48.0
City Hotel,1,38,2016,May,19,6,2,3,2,1.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,149.68,0,0,Canceled,01/05/2016,31-90 days,Family,748.4000000000001
City Hotel,0,160,2017,July,28,15,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,78.35,0,1,Check-Out,22/07/2017,90+ days,Couple,548.4499999999999
Resort Hotel,0,32,2016,October,44,27,2,5,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,91.85,1,0,Check-Out,03/11/2016,31-90 days,Couple,642.9499999999999
Resort Hotel,0,56,2016,March,14,29,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,58.0,1,1,Check-Out,02/04/2016,31-90 days,Couple,232.0
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,03/07/2015,90+ days,Solo,560.0
Resort Hotel,0,85,2017,April,16,19,1,4,2,0.0,0,BB,USA,Direct,Direct,0,0,0,E,E,2,No Deposit,,,0,Transient-Party,74.6,0,1,Check-Out,24/04/2017,31-90 days,Couple,373.0
City Hotel,0,278,2017,July,30,26,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,165.6,0,2,Check-Out,30/07/2017,90+ days,Group,662.4
